Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Sun, Nov 26, 2023",3:30p,Portland Trail Blazers,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sun, Nov 26, 2023",6:00p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,
"Sun, Nov 26, 2023",6:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
"Sun, Nov 26, 2023",6:00p,Phoenix Suns,,New York Knicks,,,,,Madison Square Garden (IV),
"Sun, Nov 26, 2023",6:00p,Charlotte Hornets,,Orlando Magic,,,,,Amway Center,
"Sun, Nov 26, 2023",7:30p,Chicago Bulls,,Brooklyn Nets,,,,,Barclays Center,
"Sun, Nov 26, 2023",7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Sun, Nov 26, 2023",8:00p,San Antonio Spurs,,Denver Nuggets,,,,,Ball Arena,
"Mon, Nov 27, 2023",7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
"Mon, Nov 27, 2023",7:00p,Portland Trail Blazers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Mon, Nov 27, 2023",7:00p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Nov 27, 2023",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
"Mon, Nov 27, 2023",10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Tue, Nov 28, 2023",7:30p,Chicago Bulls,,Boston Celtics,,,,,TD Garden,
"Tue, Nov 28, 2023",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,
"Tue, Nov 28, 2023",7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Tue, Nov 28, 2023",7:30p,Milwaukee Bucks,,Miami Heat,,,,,Kaseya Center,
"Tue, Nov 28, 2023",7:30p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),
"Tue, Nov 28, 2023",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,
"Tue, Nov 28, 2023",8:30p,Houston Rockets,,Dallas Mavericks,,,,,American Airlines Center,
"Tue, Nov 28, 2023",10:00p,Golden State Warriors,,Sacramento Kings,,,,,Golden 1 Center,
"Wed, Nov 29, 2023",7:00p,Los Angeles Lakers,,Detroit Pistons,,,,,Little Caesars Arena,
"Wed, Nov 29, 2023",7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,
"Wed, Nov 29, 2023",7:30p,Phoenix Suns,,Toronto Raptors,,,,,Scotiabank Arena,
"Wed, Nov 29, 2023",8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,
"Wed, Nov 29, 2023",8:00p,Philadelphia 76ers,,New Orleans Pelicans,,,,,Smoothie King Center,
"Wed, Nov 29, 2023",9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
"Wed, Nov 29, 2023",10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,Golden 1 Center,
"Thu, Nov 30, 2023",7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Thu, Nov 30, 2023",7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,Barclays Center,
"Thu, Nov 30, 2023",7:30p,Indiana Pacers,,Miami Heat,,,,,Kaseya Center,
"Thu, Nov 30, 2023",7:30p,Detroit Pistons,,New York Knicks,,,,,Madison Square Garden (IV),
"Thu, Nov 30, 2023",8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,United Center,
"Thu, Nov 30, 2023",8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,Target Center,
"Thu, Nov 30, 2023",8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
"Thu, Nov 30, 2023",8:00p,Atlanta Hawks,,San Antonio Spurs,,,,,AT&T Center,
"Thu, Nov 30, 2023",10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,Chase Center,
"Fri, Dec 1, 2023",7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,
"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,,Boston Celtics,,,,,TD Garden,
"Fri, Dec 1, 2023",7:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,American Airlines Center,
"Fri, Dec 1, 2023",7:30p,New York Knicks,,Toronto Raptors,,,,,Scotiabank Arena,
"Fri, Dec 1, 2023",8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,Smoothie King Center,
"Fri, Dec 1, 2023",10:00p,Denver Nuggets,,Phoenix Suns,,,,,Footprint Center,
"Sat, Dec 2, 2023",4:00p,Golden State Warriors,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,,Charlotte Hornets,,,,,Spectrum Center,
"Sat, Dec 2, 2023",7:00p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,
"Sat, Dec 2, 2023",7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,Little Caesars Arena,
"Sat, Dec 2, 2023",8:00p,New Orleans Pelicans,,Chicago Bulls,,,,,United Center,
"Sat, Dec 2, 2023",8:00p,Indiana Pacers,,Miami Heat,,,,,Kaseya Center,
"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sat, Dec 2, 2023",9:00p,Oklahoma City Thunder,,Dallas Mavericks,,,,,American Airlines Center,
"Sat, Dec 2, 2023",9:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,
"Sat, Dec 2, 2023",9:30p,Portland Trail Blazers,,Utah Jazz,,,,,Delta Center,
"Sat, Dec 2, 2023",10:00p,Denver Nuggets,,Sacramento Kings,,,,,Golden 1 Center,
"Sat, Dec 2, 2023",10:30p,Houston Rockets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Tue, Dec 5, 2023",7:30p,New York Knicks,,Milwaukee Bucks,,,,,Fiserv Forum,In-Season Tournament
"Tue, Dec 5, 2023",10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,In-Season Tournament
"Wed, Dec 6, 2023",7:00p,Orlando Magic,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Dec 6, 2023",7:00p,Memphis Grizzlies,,Detroit Pistons,,,,,Little Caesars Arena,
"Wed, Dec 6, 2023",7:00p,Philadelphia 76ers,,Washington Wizards,,,,,Capital One Arena,
"Wed, Dec 6, 2023",7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
"Wed, Dec 6, 2023",7:30p,San Antonio Spurs,,Minnesota Timberwolves,,,,,Target Center,
"Wed, Dec 6, 2023",7:30p,Miami Heat,,Toronto Raptors,,,,,Scotiabank Arena,
"Wed, Dec 6, 2023",8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,
"Wed, Dec 6, 2023",8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,Toyota Center,
"Wed, Dec 6, 2023",8:30p,Utah Jazz,,Dallas Mavericks,,,,,American Airlines Center,
"Wed, Dec 6, 2023",10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
"Wed, Dec 6, 2023",10:00p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Fri, Dec 8, 2023",7:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
"Fri, Dec 8, 2023",7:00p,Detroit Pistons,,Orlando Magic,,,,,Amway Center,
"Fri, Dec 8, 2023",7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Fri, Dec 8, 2023",7:30p,Washington Wizards,,Brooklyn Nets,,,,,Barclays Center,
"Fri, Dec 8, 2023",8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Dec 8, 2023",8:00p,Cleveland Cavaliers,,Miami Heat,,,,,Kaseya Center,
"Fri, Dec 8, 2023",8:00p,Golden State Warriors,,Oklahoma City Thunder,,,,,Paycom Center,
"Fri, Dec 8, 2023",8:30p,Chicago Bulls,,San Antonio Spurs,,,,,Frost Bank Center,
"Fri, Dec 8, 2023",9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
"Fri, Dec 8, 2023",10:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,Moda Center,
"Fri, Dec 8, 2023",10:00p,Los Angeles Clippers,,Utah Jazz,,,,,Delta Center,
"Mon, Dec 11, 2023",7:00p,Miami Heat,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Dec 11, 2023",7:00p,Indiana Pacers,,Detroit Pistons,,,,,Little Caesars Arena,
"Mon, Dec 11, 2023",7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
"Mon, Dec 11, 2023",7:00p,Washington Wizards,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Dec 11, 2023",7:30p,Denver Nuggets,,Atlanta Hawks,,,,,State Farm Arena,
"Mon, Dec 11, 2023",7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
"Mon, Dec 11, 2023",8:00p,San Antonio Spurs,,Houston Rockets,,,,,Toyota Center,
"Mon, Dec 11, 2023",8:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,FedEx Forum,
"Mon, Dec 11, 2023",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,Fiserv Forum,
"Mon, Dec 11, 2023",8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,
"Mon, Dec 11, 2023",8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,Paycom Center,
"Mon, Dec 11, 2023",10:00p,Brooklyn Nets,,Sacramento Kings,,,,,Golden 1 Center,
"Mon, Dec 11, 2023",10:30p,Portland Trail Blazers,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Dec 16, 2023",10:00p,Utah Jazz,,Sacramento Kings,,,,,Golden 1 Center,
"Sat, Dec 16, 2023",10:30p,New York Knicks,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sun, Dec 17, 2023",3:00p,Orlando Magic,,Boston Celtics,,,,,TD Garden,
"Sun, Dec 17, 2023",3:30p,New Orleans Pelicans,,San Antonio Spurs,,,,,AT&T Center,
"Sun, Dec 17, 2023",7:00p,Houston Rockets,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sun, Dec 17, 2023",8:00p,Washington Wizards,,Phoenix Suns,,,,,Footprint Center,
"Sun, Dec 17, 2023",9:00p,Golden State Warriors,,Portland Trail Blazers,,,,,Moda Center,
"Mon, Dec 18, 2023",7:00p,Houston Rockets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Mon, Dec 18, 2023",7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Mon, Dec 18, 2023",7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Dec 18, 2023",7:30p,Detroit Pistons,,Atlanta Hawks,,,,,State Farm Arena,
"Mon, Dec 18, 2023",7:30p,Minnesota Timberwolves,,Miami Heat,,,,,Kaseya Center,
"Mon, Dec 18, 2023",7:30p,Charlotte Hornets,,Toronto Raptors,,,,,Scotiabank Arena,
"Mon, Dec 18, 2023",8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,Paycom Center,
"Mon, Dec 18, 2023",9:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,
"Mon, Dec 18, 2023",9:00p,Brooklyn Nets,,Utah Jazz,,,,,Delta Center,
"Mon, Dec 18, 2023",10:00p,Washington Wizards,,Sacramento Kings,,,,,Golden 1 Center,
"Mon, Dec 18, 2023",10:30p,New York Knicks,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Tue, Dec 19, 2023",7:30p,Memphis Grizzlies,,New Orleans Pelicans,,,,,Smoothie King Center,
"Tue, Dec 19, 2023",8:00p,San Antonio Spurs,,Milwaukee Bucks,,,,,Fiserv Forum,
"Tue, Dec 19, 2023",10:00p,Boston Celtics,,Golden State Warriors,,,,,Chase Center,
"Tue, Dec 19, 2023",10:00p,Phoenix Suns,,Portland Trail Blazers,,,,,Moda Center,
"Wed, Dec 20, 2023",7:00p,Utah Jazz,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Dec 20, 2023",7:00p,Charlotte Hornets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Wed, Dec 20, 2023",7:00p,Miami Heat,,Orlando Magic,,,,,Amway Center,
"Wed, Dec 20, 2023",7:00p,Minnesota Timberwolves,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Wed, Dec 20, 2023",7:30p,New York Knicks,,Brooklyn Nets,,,,,Barclays Center,
"Wed, Dec 20, 2023",7:30p,Denver Nuggets,,Toronto Raptors,,,,,Scotiabank Arena,
"Wed, Dec 20, 2023",8:00p,Los Angeles Lakers,,Chicago Bulls,,,,,United Center,
"Wed, Dec 20, 2023",8:00p,Atlanta Hawks,,Houston Rockets,,,,,Toyota Center,
"Wed, Dec 20, 2023",8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,American Airlines Center,
"Wed, Dec 20, 2023",10:00p,Boston Celtics,,Sacramento Kings,,,,,Golden 1 Center,
"Thu, Dec 21, 2023",7:00p,Utah Jazz,,Detroit Pistons,,,,,Little Caesars Arena,
"Thu, Dec 21, 2023",7:30p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Thu, Dec 21, 2023",8:00p,San Antonio Spurs,,Chicago Bulls,,,,,United Center,
"Thu, Dec 21, 2023",8:00p,Indiana Pacers,,Memphis Grizzlies,,,,,FedEx Forum,
"Thu, Dec 21, 2023",8:00p,Orlando Magic,,Milwaukee Bucks,,,,,Fiserv Forum,
"Thu, Dec 21, 2023",8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,Paycom Center,
"Thu, Dec 21, 2023",9:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,Target Center,
"Thu, Dec 21, 2023",10:00p,Washington Wizards,,Portland Trail Blazers,,,,,Moda Center,
"Fri, Dec 22, 2023",6:30p,Denver Nuggets,,Brooklyn Nets,,,,,Barclays Center,
"Fri, Dec 22, 2023",7:00p,Toronto Raptors,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Fri, Dec 22, 2023",8:00p,Dallas Mavericks,,Houston Rockets,,,,,Toyota Center,
"Fri, Dec 22, 2023",8:00p,Atlanta Hawks,,Miami Heat,,,,,Kaseya Center,
"Fri, Dec 22, 2023",10:00p,Washington Wizards,,Golden State Warriors,,,,,Chase Center,
"Fri, Dec 22, 2023",10:00p,Phoenix Suns,,Sacramento Kings,,,,,Golden 1 Center,
"Sat, Dec 23, 2023",12:30p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
"Sat, Dec 23, 2023",3:30p,Boston Celtics,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Dec 23, 2023",7:00p,Denver Nuggets,,Charlotte Hornets,,,,,Spectrum Center,
"Sat, Dec 23, 2023",7:00p,Orlando Magic,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Sat, Dec 23, 2023",7:00p,Houston Rockets,,New Orleans Pelicans,,,,,Smoothie King Center,
"Sat, Dec 23, 2023",7:30p,Memphis Grizzlies,,Atlanta Hawks,,,,,State Farm Arena,
"Sat, Dec 23, 2023",7:30p,Detroit Pistons,,Brooklyn Nets,,,,,Barclays Center,
"Sat, Dec 23, 2023",7:30p,Utah Jazz,,Toronto Raptors,,,,,Scotiabank Arena,
"Sat, Dec 23, 2023",8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,United Center,
"Sat, Dec 23, 2023",8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
"Sat, Dec 23, 2023",8:30p,San Antonio Spurs,,Dallas Mavericks,,,,,American Airlines Center,
"Sat, Dec 23, 2023",8:30p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
"Sat, Dec 23, 2023",10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,Golden 1 Center,
"Mon, Dec 25, 2023",12:00p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
"Mon, Dec 25, 2023",2:30p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
"Mon, Dec 25, 2023",5:00p,Boston Celtics,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Mon, Dec 25, 2023",8:00p,Philadelphia 76ers,,Miami Heat,,,,,Kaseya Center,
"Mon, Dec 25, 2023",10:30p,Dallas Mavericks,,Phoenix Suns,,,,,Footprint Center,
"Tue, Dec 26, 2023",7:00p,Brooklyn Nets,,Detroit Pistons,,,,,Little Caesars Arena,
"Tue, Dec 26, 2023",7:00p,Orlando Magic,,Washington Wizards,,,,,Capital One Arena,
"Tue, Dec 26, 2023",8:00p,Atlanta Hawks,,Chicago Bulls,,,,,United Center,
"Tue, Dec 26, 2023",8:00p,Indiana Pacers,,Houston Rockets,,,,,Toyota Center,
"Tue, Dec 26, 2023",8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,Smoothie King Center,
"Tue, Dec 26, 2023",8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
"Tue, Dec 26, 2023",8:00p,Utah Jazz,,San Antonio Spurs,,,,,AT&T Center,
"Tue, Dec 26, 2023",10:00p,Sacramento Kings,,Portland Trail Blazers,,,,,Moda Center,
"Tue, Dec 26, 2023",10:30p,Charlotte Hornets,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Wed, Dec 27, 2023",7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
"Wed, Dec 27, 2023",7:00p,Toronto Raptors,,Washington Wizards,,,,,Capital One Arena,
"Wed, Dec 27, 2023",7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,Barclays Center,
"Wed, Dec 27, 2023",8:00p,Phoenix Suns,,Houston Rockets,,,,,Toyota Center,
"Wed, Dec 27, 2023",8:00p,New York Knicks,,Oklahoma City Thunder,,,,,Paycom Center,
"Wed, Dec 27, 2023",8:30p,Cleveland Cavaliers,,Dallas Mavericks,,,,,American Airlines Center,
"Thu, Dec 28, 2023",7:30p,Detroit Pistons,,Boston Celtics,,,,,TD Garden,
"Thu, Dec 28, 2023",8:00p,Indiana Pacers,,Chicago Bulls,,,,,United Center,
"Thu, Dec 28, 2023",8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
"Thu, Dec 28, 2023",8:00p,Utah Jazz,,New Orleans Pelicans,,,,,Smoothie King Center,
"Thu, Dec 28, 2023",9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,Ball Arena,
"Thu, Dec 28, 2023",10:00p,Miami Heat,,Golden State Warriors,,,,,Chase Center,
"Thu, Dec 28, 2023",10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,Moda Center,
"Thu, Dec 28, 2023",10:30p,Charlotte Hornets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Fri, Dec 29, 2023",7:00p,New York Knicks,,Orlando Magic,,,,,Amway Center,
"Fri, Dec 29, 2023",7:00p,Brooklyn Nets,,Washington Wizards,,,,,Capital One Arena,
"Fri, Dec 29, 2023",7:30p,Sacramento Kings,,Atlanta Hawks,,,,,State Farm Arena,
"Fri, Dec 29, 2023",7:30p,Toronto Raptors,,Boston Celtics,,,,,TD Garden,
"Fri, Dec 29, 2023",7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Fri, Dec 29, 2023",8:00p,Philadelphia 76ers,,Houston Rockets,,,,,Toyota Center,
"Fri, Dec 29, 2023",9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,Ball Arena,
"Fri, Dec 29, 2023",9:00p,Charlotte Hornets,,Phoenix Suns,,,,,Footprint Center,
"Fri, Dec 29, 2023",10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,Moda Center,
"Fri, Dec 29, 2023",10:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Dec 30, 2023",5:00p,Miami Heat,,Utah Jazz,,,,,Delta Center,
"Sat, Dec 30, 2023",6:00p,Toronto Raptors,,Detroit Pistons,,,,,Little Caesars Arena,
"Sat, Dec 30, 2023",7:00p,New York Knicks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Sat, Dec 30, 2023",8:00p,Philadelphia 76ers,,Chicago Bulls,,,,,United Center,
"Sat, Dec 30, 2023",8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,Target Center,
"Sat, Dec 30, 2023",8:30p,Dallas Mavericks,,Golden State Warriors,,,,,Chase Center,
"Sun, Dec 31, 2023",3:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,
"Sun, Dec 31, 2023",7:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,Smoothie King Center,
"Sun, Dec 31, 2023",7:00p,Brooklyn Nets,,Oklahoma City Thunder,,,,,Paycom Center,
"Sun, Dec 31, 2023",7:00p,Boston Celtics,,San Antonio Spurs,,,,,AT&T Center,
"Sun, Dec 31, 2023",8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,FedEx Forum,
"Sun, Dec 31, 2023",8:00p,Orlando Magic,,Phoenix Suns,,,,,Footprint Center,
"Mon, Jan 1, 2024",3:00p,Minnesota Timberwolves,,New York Knicks,,,,,Madison Square Garden (IV),
"Mon, Jan 1, 2024",7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,Scotiabank Arena,
"Mon, Jan 1, 2024",8:00p,Detroit Pistons,,Houston Rockets,,,,,Toyota Center,
"Mon, Jan 1, 2024",8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,Fiserv Forum,
"Mon, Jan 1, 2024",9:00p,Charlotte Hornets,,Denver Nuggets,,,,,Ball Arena,
"Mon, Jan 1, 2024",9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,
"Mon, Jan 1, 2024",9:00p,Dallas Mavericks,,Utah Jazz,,,,,Delta Center,
"Mon, Jan 1, 2024",10:30p,Miami Heat,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Tue, Jan 2, 2024",7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Tue, Jan 2, 2024",8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,FedEx Forum,
"Tue, Jan 2, 2024",8:00p,Brooklyn Nets,,New Orleans Pelicans,,,,,Smoothie King Center,
"Tue, Jan 2, 2024",8:00p,Boston Celtics,,Oklahoma City Thunder,,,,,Paycom Center,
"Tue, Jan 2, 2024",10:00p,Orlando Magic,,Golden State Warriors,,,,,Chase Center,
"Tue, Jan 2, 2024",10:00p,Charlotte Hornets,,Sacramento Kings,,,,,Golden 1 Center,
"Wed, Jan 3, 2024",7:00p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Jan 3, 2024",7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Wed, Jan 3, 2024",7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,,,State Farm Arena,
"Wed, Jan 3, 2024",7:30p,Chicago Bulls,,New York Knicks,,,,,Madison Square Garden (IV),
"Wed, Jan 3, 2024",8:00p,Brooklyn Nets,,Houston Rockets,,,,,Toyota Center,
"Wed, Jan 3, 2024",8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,FedEx Forum,
"Wed, Jan 3, 2024",8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,Target Center,
"Wed, Jan 3, 2024",8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,
"Wed, Jan 3, 2024",9:00p,Los Angeles Clippers,,Phoenix Suns,,,,,Footprint Center,
"Wed, Jan 3, 2024",9:00p,Detroit Pistons,,Utah Jazz,,,,,Delta Center,
"Wed, Jan 3, 2024",10:00p,Miami Heat,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Wed, Jan 3, 2024",10:00p,Orlando Magic,,Sacramento Kings,,,,,Golden 1 Center,
"Thu, Jan 4, 2024",7:30p,Milwaukee Bucks,,San Antonio Spurs,,,,,AT&T Center,
"Thu, Jan 4, 2024",10:00p,Denver Nuggets,,Golden State Warriors,,,,,Chase Center,
"Fri, Jan 5, 2024",7:00p,Utah Jazz,,Boston Celtics,,,,,TD Garden,
"Fri, Jan 5, 2024",7:00p,Atlanta Hawks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Fri, Jan 5, 2024",7:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,Barclays Center,
"Fri, Jan 5, 2024",7:30p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Fri, Jan 5, 2024",7:30p,New York Knicks,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Fri, Jan 5, 2024",8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,
"Fri, Jan 5, 2024",8:00p,Minnesota Timberwolves,,Houston Rockets,,,,,Toyota Center,
"Fri, Jan 5, 2024",8:00p,Los Angeles Clippers,,New Orleans Pelicans,,,,,Smoothie King Center,
